catalognumber,collectorfamilyname,collectorinitials,associatedcollectors,year,month,day,verbatimeventdate,scientificname,scientificnameauthorship,identificationqualifier,family,identifiedby,dateidentified,country,stateprovince,county,locality,latdeg,lngdeg,elevationnumber,elevationunits,verbatimelevation,verbatimcoordinates,georeferencedby,georeferencesources,host,occurrenceremarks,lifestage,sex,individualcount,samplingprotocol,preparations,typestatus,ownerinstitutioncode,basisofrecord,language
UMSP000333428,,,,1924,6,16,VI-16-24,Anambodera gemina,Horn,var. nebulosa,buprestidae,Knull,1938,USA,California,,Pasadena,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333429,Knull,D.J,J.N Knull,1937,6,8,VI-8-37,Ancylotela barberi,Skinner,,buprestidae,Knull,1938,USA,Arizona,,Tuscon,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333431,Knull,D.J,J.N Knull,1937,6,30,VI-30-37,Ancylotela barberi,Skinner,,buprestidae,J.N. Knull,,USA,Nevada,,Las Vegas,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333430,Knull,D.J,J.N Knull,1939,6,15,VI-15-38,Ancylotela olneyae,Skinner,,buprestidae,Knull,1942,USA,Arizona,,Chiricahua M.,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333427,Knull,D.J,J.N Knull,1937,6,30,VI-30-37,Ancylotela olneyae,Skinner,,buprestidae,J.N. Knull,,USA,Nevada,,Las Vegas,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333432,Knull,D.J,J.N Knull,1937,6,16,VI-16-37,Ancylotela olneyae,Skinner,,buprestidae,Knull,1938,USA,Arizona,,Wickenburg,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333435,Lugger,O.,,,,,,Anthaxia aenecogaster,Laporte & Gory,Cast.,buprestidae,J.N. Knull,1928,USA,Missouri,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333436,Lugger,O.,,,,,,Anthaxia aenecogaster,Laporte & Gory,Cast.,buprestidae,J.N. Knull,1922,USA,Wyoming,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333433,Milliron,H.E.,,1938,6,17,June 17 1938,Anthaxia aenecogaster,Laporte & Gory,Cast.,buprestidae,Knull,1942,USA,Minnesota,,Itasca Park,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333434,Frost,C.A.,,1910,5,18,"May 18, 1910",Anthaxia aenecogaster,Laporte & Gory,Cast.,buprestidae,C.A. Frost,,USA,California,Fresno,Camp Creeley,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
