catalognumber,collectorfamilyname,collectorinitials,associatedcollectors,year,month,day,verbatimeventdate,scientificname,scientificnameauthorship,identificationqualifier,family,identifiedby,dateidentified,country,stateprovince,county,locality,latdeg,lngdeg,elevationnumber,host,occurrenceremarks,samplingprotocol,,,,,,,,
UMSP000333428,,,,1924,6,16,VI-16-24,Anambodera gemina,Horn,var. nebulosa,buprestidae,Knull,1938,USA,California,,Pasadena,,,,,,,,,,,,,,
UMSP000333429,Knull,D.J,J.N Knull,1937,6,8,VI-8-37,Ancylotela barberi,Skinner,,buprestidae,Knull,1938,USA,Arizona,,Tuscon,,,,,,,,,,,,,,
UMSP000333431,Knull,D.J,J.N Knull,1937,6,30,VI-30-37,Ancylotela barberi,Skinner,,buprestidae,J.N. Knull,,USA,Nevada,,Las Vegas,,,,,,,,,,,,,,
UMSP000333430,Knull,D.J,J.N Knull,1939,6,15,VI-15-38,Ancylotela olneyae,Skinner,,buprestidae,Knull,1942,USA,Arizona,,Chiricahua M.,,,,,,,,,,,,,,
UMSP000333427,Knull,D.J,J.N Knull,1937,6,30,VI-30-37,Ancylotela olneyae,Skinner,,buprestidae,J.N. Knull,,USA,Nevada,,Las Vegas,,,,,,,,,,,,,,
UMSP000333432,Knull,D.J,J.N Knull,1937,6,16,VI-16-37,Ancylotela olneyae,Skinner,,buprestidae,Knull,1938,USA,Arizona,,Wickenburg,,,,,,,,,,,,,,
UMSP000333435,Lugger,O.,,,,,,Anthaxia aenecogaster,Laporte & Gory,Cast.,buprestidae,J.N. Knull,1928,USA,Missouri,,,,,,,,,,,,,,,,
UMSP000333436,Lugger,O.,,,,,,Anthaxia aenecogaster,Laporte & Gory,Cast.,buprestidae,J.N. Knull,1922,USA,Wyoming,,,,,,,,,,,,,,,,
UMSP000338762,,,,1988,6,13,13 June 1988,Acmaeodera pulchella,Herbst,,buprestidae,,,USA,Minnesota,Isanti,Cedar Creek Natural History Area,,,,,,,,,,,,,,
UMSP000333434,Frost,C.A.,,1910,5,18,"May 18, 1910",Anthaxia aenecogaster,Laporte & Gory,Cast.,buprestidae,C.A. Frost,,USA,California,Fresno,Camp Creeley,,,,,,,,,,,,,,
UMSP000333437,Frost,C.A.,,1910,5,18,"May 18, 1910",Anthaxia aenecogaster,Laporte & Gory,Cast.,buprestidae,C.A. Frost,,USA,California,Fresno,Camp Creeley,,,,,,,,,,,,,,
UMSP000333438,Frost,C.A.,,1910,5,18,"May 18, 1910",Anthaxia aenecogaster,Laporte & Gory,Cast.,buprestidae,C.A. Frost,,USA,California,Fresno,Camp Creeley,,,,,,,,,,,,,,
UMSP000333441,Frost,C.A.,,1910,5,18,"May 18, 1910",Anthaxia aenecogaster,Laporte & Gory,Cast.,buprestidae,C.A. Frost,,USA,California,Fresno,Camp Creeley,,,,,,,,,,,,,,
UMSP000333439,Frost,C.A.,,1910,5,18,"May 18, 1910",Anthaxia aenecogaster,Laporte & Gory,Cast.,buprestidae,C.A. Frost,,USA,California,Fresno,Camp Creeley,,,,,,,,,,,,,,
UMSP000333442,Frost,C.A.,,1910,5,18,"May 18, 1910",Anthaxia aenecogaster,Laporte & Gory,Cast.,buprestidae,C.A. Frost,,USA,California,Fresno,Camp Creeley,,,,,,,,,,,,,,
UMSP000333443,Frost,C.A.,,1910,5,18,"May 18, 1910",Anthaxia aenecogaster,Laporte & Gory,Cast.,buprestidae,C.A. Frost,,USA,California,Fresno,Camp Creeley,,,,,,,,,,,,,,
UMSP000333753,Denning,D.G.,,1927,6,14,"June 14, 1927",Acmaeodera pulchella,Herbst,,buprestidae,J.N. Knull,1938,USA,Minnesota,Pope,Grove Lake,,,,,,,,,,,,,,
UMSP000333381,Telford,H.S.,,1939,7,14,"July 14, 1939",Anthaxia aenecogaster,Laporte & Gory,Cast.,buprestidae,J.N. Knull,1942,USA,South Dakota,Pennington,,,,,,,,,,,,,,,
UMSP000333379,Telford,H.S.,,1939,7,14,"July 14, 1939",Anthaxia aenecogaster,Laporte & Gory,Cast.,buprestidae,J.N. Knull,1942,USA,South Dakota,Pennington,,,,,,,,,,,,,,,
UMSP000333755,Denning,D.G.,,1927,6,14,"June 14, 1927",Acmaeodera pulchella,Herbst,,buprestidae,J.N. Knull,1938,USA,Minnesota,Pope,Grove Lake,,,,,,,,,,,,,,
